"","Parti","Partei","Partito","1975","1979","1983","1987","1991","1995","1999","2003","2007","2011","2015","2019","2023"
"1","Divers","Ubrige","Diversi",685,653,737,979,939,944,828,649,477,661,707,738,718
"2","UDF","EDU","UDF",55,59,39,79,75,163,135,106,164,164,218,114,193
"3","UDC","SVP","UDC",198,212,218,204,238,294,333,386,406,393,437,574,607
"4","PLR","FDP","PLR",320,267,264,298,303,386,414,470,485,448,464,525,619
"5","Le Centre","Mitte","Centro",239,219,186,216,307,341,332,317,361,398,444,707,1083
"6","PEV","EVP","EVP",87,93,90,100,130,162,212,260,261,243,214,306,358
"7","PS","SP","PS",248,224,224,279,268,241,369,352,404,436,485,608,683
"8","Les Vert-e-s","Grüne","Verdi",8,28,76,186,237,256,194,282,424,393,402,456,598
"9","Gauche alternative","Linksparteien","Estrema sinistra",114,100,51,70,72,57,37,30,76,100,69,159,70
"10","Vert'libéraux","GLP","Verdi liberali",NA,NA,NA,NA,NA,NA,NA,NA,46,241,362,477,799
