"","Année","Nom","Prénom","Canton","Parti","Age","Date de naissance"
"1",2023,"Gapany","Johanna","Fribourg","PLR",35,1988-07-25
"2",2023,"Hurni","Baptiste","Neuchâtel","PS",37,1986-04-04
"3",2023,"Müller","Damian","Lucerne","PLR",38,1984-10-25
"4",2023,"Vara","Céline","Neuchâtel","Les Vert-e-s",39,1984-10-04
"5",2023,"Zopfi","Mathias","Glaris","Les Vert-e-s",39,1983-12-14
"6",2023,"Stocker","Simon","Schaffhouse","PS",42,NA
"7",2023,"Caroni","Andrea","Appenzell Rhodes-Extérieures","PLR",43,1980-04-19
"8",2023,"Crevoisier Crelier","Mathilde","Jura","PS",43,1980-01-05
"9",2023,"Moser","Tiana Angelina","Zurich","PVL",44,1979-04-06
"10",2023,"Wasserfallen","Flavia","Berne","PS",44,1979-02-07
