"","jahr","Nome","Cognome","Cantone","Partito","Età","Data di nascita"
"1",2023,"Dittli","Josef","Uri","PLR",67,1957-04-11
"2",2023,"Germann","Hannes","Sciaffusa","UDC",67,1956-07-01
"3",2023,"Bischof","Pirmin","Soletta","Centro",65,1959-02-24
"4",2023,"Häberli-Koller","Brigitte","Turgovia","Centro",65,1958-08-23
"5",2023,"Stark","Jakob","Turgovia","UDC",65,1958-09-08
"6",2023,"Hegglin","Peter","Zugo","Centro",63,1960-12-25
"7",2023,"Fässler","Daniel","Appenzello Interno","Centro",63,1960-08-22
"8",2023,"Engler","Stefan","Grigioni","Centro",63,1960-05-30
"9",2023,"Schwander","Pirmin","Svitto","UDC",62,1961-12-28
"10",2023,"Herzog","Eva","Basilea Città","PS",62,1961-12-25
