"","Commune","Canton","Pourcentage"
"1","Trogen",15,69.692307692
"2","Speicher",15,66.892349357
"3","Rehetobel",15,63.315696649
"4","Teufen (AR)",15,62.518373346
"5","Heiden",15,59.170506912
"6","Rossenges",22,57.263157895
"7","Reute (AR)",15,55.924170616
"8","Wolfhalden",15,55.868544601
"9","Linescio",21,53.125
"10","Gais",15,52.935222672
"11","Grub (AR)",15,51.119402985
"12","Walzenhausen",15,50.69124424
"13","Isérables",23,49.500356888
"14","Bühler",15,48.827292111
"15","Lutzenberg",15,46.68989547
"16","Massonnens",10,45.228215768
"17","Corcelles-le-Jorat",22,44.907130018
"18","Wald (AR)",15,44.881889764
"19","Ormont-Dessus",22,44.461190656
"20","Stein (AR)",15,44.315992293
"21","Yvorne",22,43.64940239
"22","Vandoeuvres",25,42.001593988
"23","Cologny",25,41.818533067
"24","Lostallo",18,41.052631579
"25","Le Cerneux-Péquignot",24,40.588235294
"26","La Brévine",24,40.540540541
"27","Bourg-Saint-Pierre",23,40.198511166
"28","Silvaplana",18,39.74025974
"29","Dully",22,39.690891154
"30","Trey",22,39.544807966
"31","Buchillon",22,39.498504716
"32","Dorénaz",23,39.060031596
"33","Tartegnin",22,38.524590164
"34","Feldbrunnen-St. Niklaus",11,38.056951424
"35","Romanel-sur-Morges",22,37.949400799
"36","Veyras",23,37.864506627
"37","Eppenberg-Wöschnau",11,37.440758294
"38","Corseaux",22,37.067254686
"39","Senarclens",22,37.009893734
"40","Anières",25,36.949705255
"41","Les Verrières",24,36.858475894
"42","Genolier",22,36.722886841
"43","Collonge-Bellerive",25,36.613193461
"44","Vufflens-le-Château",22,36.303095752
"45","Chigny",22,36.223616657
"46","Crans-près-Céligny",22,36.155339806
"47","Vouvry",23,35.968225029
"48","Sils im Engadin/Segl",18,35.889570552
"49","Féchy",22,35.595057446
"50","Waldstatt",15,35.453100159
