"","Commune","Canton","Pourcentage"
"1","Corippo",21,2.272727273
"2","Personico",21,2.86259542
"3","Riviera",21,6.11878298
"4","Veysonnaz",23,6.379585327
"5","Courchavon",26,6.538461538
"6","Aranno",21,7.234042553
"7","Salvan",23,7.247524752
"8","Linescio",21,7.5
"9","Giornico",21,7.570977918
"10","Saint-Blaise",24,7.721549062
"11","Les Breuleux",26,7.732497388
"12","Neuchâtel",24,7.743446879
"13","Terre di Pedemonte",21,7.774354112
"14","Bodio",21,7.822954195
"15","Finhaut",23,7.851239669
"16","Les Enfers",26,7.936507937
"17","Onsernone",21,8.131352619
"18","Brione (Verzasca)",21,8.272058824
"19","Brusino Arsizio",21,8.327299059
"20","Vacallo",21,8.367324441
"21","Chiasso",21,8.565246138
"22","Troinex",25,8.787910154
"23","Lajoux (JU)",26,8.863636364
"24","Delémont",26,8.938279501
"25","Centovalli",21,8.991494532
"26","Coeuve",26,9.036144578
"27","Saignelégier",26,9.07581627
"28","Matran",10,9.129003292
"29","Prato (Leventina)",21,9.133858268
"30","Comano",21,9.155996145
"31","Balerna",21,9.191349318
"32","Porrentruy",26,9.239653513
"33","Villars-sur-Glâne",10,9.259857044
"34","Lausanne",22,9.302119694
"35","Fontenais",26,9.32922128
"36","Stabio",21,9.440839186
"37","Bern",2,9.477289561
"38","Miglieglia",21,9.486780715
"39","Maggia",21,9.489254814
"40","Arbedo-Castione",21,9.5797223
"41","Breggia",21,9.603750756
"42","Medel (Lucmagn)",18,9.646302251
"43","Fribourg",10,9.655658786
"44","Chippis",23,9.658919408
"45","Capriasca",21,9.678750064
"46","Novazzano",21,9.744450181
"47","Rochefort",24,9.770742358
"48","Locarno",21,9.789620409
"49","Maroggia",21,9.808917197
"50","Mendrisio",21,9.819382048
