"","Commune","Canton","Pourcentage"
"1","Corippo",21,0
"2","Ederswiler",26,0
"3","Rossenges",22,0.210526316
"4","Riemenstalden",5,0.662251656
"5","Unterschächen",4,0.766283525
"6","Reisiswil",2,0.770416025
"7","Seehof",2,0.905797101
"8","Champoz",2,0.964467005
"9","Saas-Almagell",23,0.998890122
"10","Doppleschwand",3,1.133255178
"11","Oeschenbach",2,1.182033097
"12","Zwischbergen",23,1.255230126
"13","Saas-Balen",23,1.37704918
"14","Schangnau",2,1.509433962
"15","Blatten",23,1.674808095
"16","Törbel",23,1.687937423
"17","Cuarny",22,1.731301939
"18","Ergisch",23,1.735776278
"19","Eischoll",23,1.914580265
"20","Häutligen",2,2.00080032
"21","Horrenbach-Buchen",2,2.036741214
"22","Flühli",3,2.043352202
"23","Embd",23,2.098540146
"24","Gänsbrunnen",11,2.100840336
"25","Kerns",6,2.10441117
"26","Lütschental",2,2.106495026
"27","Samnaun",18,2.114427861
"28","Hergiswil bei Willisau",3,2.192134107
"29","Saas-Grund",23,2.242152466
"30","Teuffenthal (BE)",2,2.257567984
"31","Luthern",3,2.279276919
"32","Engelberg",6,2.28960396
"33","Bettmeralp",23,2.384737679
"34","Eggiwil",2,2.447641968
"35","Alberswil",3,2.465897167
"36","Villarsel-sur-Marly",10,2.5
"37","Ufhusen",3,2.597829661
"38","Lungern",6,2.610669694
"39","Landiswil",2,2.672439534
"40","Romoos",3,2.674173118
"41","Ebersecken",3,2.680965147
"42","Stalden (VS)",23,2.711397059
"43","Homberg",2,2.781844802
"44","Alpnach",6,2.789598109
"45","Unteriberg",5,2.824133504
"46","Fischbach",3,2.880288029
"47","Gettnau",3,2.968960864
"48","Wiler (Lötschen)",23,3.107658158
"49","Linescio",21,3.125
"50","Sachseln",6,3.126575895
