"","Commune","Canton","Pourcentage"
"1","Lütschental",2,0
"2","Saxeten",2,0
"3","Berken",2,0
"4","Farnern",2,0
"5","Novalles",22,0
"6","Clarmont",22,0
"7","Rossenges",22,0
"8","Sergey",22,0
"9","Treytorrens (Payerne)",22,0
"10","Suscévaz",22,0
"11","Walterswil (BE)",2,0.037209302
"12","Brüttelen",2,0.04515692
"13","Teuffenthal (BE)",2,0.051308363
"14","Epsach",2,0.066666667
"15","Grandevent",22,0.072150072
"16","Dizy",22,0.073800738
"17","Oberwil im Simmental",2,0.073956683
"18","Horrenbach-Buchen",2,0.079872204
"19","Champoz",2,0.101522843
"20","Orzens",22,0.125786164
"21","Herbligen",2,0.126126126
"22","Wachseldorn",2,0.132978723
"23","Landiswil",2,0.134368468
"24","Trey",22,0.142247511
"25","Rovray",22,0.143369176
"26","Curtilles",22,0.152671756
"27","Niederried bei Interlaken",2,0.153256705
"28","Auswil",2,0.15600624
"29","Gündlischwand",2,0.15625
"30","Röthenbach im Emmental",2,0.168555108
"31","Treiten",2,0.169491525
"32","Bühl",2,0.170773359
"33","Merzligen",2,0.183246073
"34","Boltigen",2,0.183501543
"35","Schangnau",2,0.183579806
"36","Kirchenthurnen",2,0.189393939
"37","Wyssachen",2,0.190916399
"38","Guttannen",2,0.195567145
"39","Bournens",22,0.202224469
"40","Oberlangenegg",2,0.20385051
"41","Cuarny",22,0.207756233
"42","Obersteckholz",2,0.211472376
"43","Walliswil bei Wangen",2,0.213766567
"44","Ependes (VD)",22,0.213789417
"45","Blumenstein",2,0.216023293
"46","Les Clées",22,0.216763006
"47","Busswil bei Melchnau",2,0.231481481
"48","Oeschenbach",2,0.236406619
"49","Därligen",2,0.239316239
"50","Provence",22,0.26560425
