"","Commune","Canton","Pourcentage"
"1","Fontenais",26,49.34464148
"2","Rongellen",18,41.333333333
"3","Courrendlin",26,37.730243613
"4","Lajoux (JU)",26,37.5
"5","Chippis",23,35.587081195
"6","Altdorf (UR)",4,34.836561743
"7","Pollegio",21,34.787735849
"8","Obergösgen",11,34.420790711
"9","Basel",12,34.031620553
"10","Le Noirmont",26,33.877159309
"11","Delémont",26,33.738407419
"12","Valangin",24,33.469387755
"13","Rodersdorf",11,33.422301305
"14","Birsfelden",13,33.26786319
"15","Gerlafingen",11,32.724370344
"16","Prez-vers-Noréaz",10,32.586837294
"17","Vallon",10,32.568149211
"18","Saignelégier",26,32.429441063
"19","Schaffhausen",14,32.102697931
"20","Courchapoix",26,31.617647059
"21","Frenkendorf",13,31.594517306
"22","Fahy",26,31.512605042
"23","Courtételle",26,31.319444444
"24","Courroux",26,30.932439978
"25","Tramelan",2,30.909213909
"26","Champtauroz",22,30.844553244
"27","Haute-Sorne",26,30.795484379
"28","Münchenstein",13,30.468468468
"29","Buckten",13,30.387096774
"30","Renens (VD)",22,30.208189715
"31","Mervelier",26,30.116959064
"32","Les Breuleux",26,29.989550679
"33","Chavannes-près-Renens",22,29.941844052
"34","Glarus",8,29.769526248
"35","Fribourg",10,29.440713826
"36","Bever",18,29.174852652
"37","Ennetbaden",19,29.104609929
"38","Ziefen",13,29.101149965
"39","Trimbach",11,28.769408443
"40","Bern",2,28.710927298
"41","Roche (VD)",22,28.292586751
"42","Cheyres-Châbles",10,28.262748487
"43","Ayent",23,28.134290479
"44","Turgi",19,28.049840626
"45","Val Terbi",26,27.941176471
"46","Veysonnaz",23,27.804359383
"47","Dulliken",11,27.787610619
"48","Glarus Nord",8,27.693882775
"49","Prilly",22,27.496969247
"50","Roveredo (GR)",18,27.359572029
