"","Name","Vorname","Kanton","Partei","Alter","Geburtsdatum"
"1","Riem","Katja","Bern","SVP",27,1996-12-26
"2","Silberschmidt","Andri","Zürich","FDP",30,1994-02-26
"3","Marti","Samira","Basel-Landschaft","SP",30,1994-01-23
"4","Egger","Mike","St. Gallen","SVP",31,1992-08-02
"5","Ryser","Franziska","St. Gallen","Grüne",32,1991-10-22
"6","Fischer","'Benjamin 'Beni''","Zürich","SVP",32,1991-08-16
"7","Molina","Fabian","Zürich","SP",33,1990-07-08
"8","Rosenwasser","Anna","Zürich","SP",33,1990-05-01
"9","Funiciello","Tamara","Bern","SP",34,1990-03-20
"10","Schläfli","Nina","Thurgau","SP",34,1990-01-01
"11","Revaz","Estelle","Genf","SP",34,1989-07-12
"12","Porchet","Léonore","Waadt","Grüne",34,1989-07-09
"13","Schnyder","Markus","Glarus","SVP",35,1988-12-04
"14","Wyss","Sarah","Basel-Stadt","SP",35,1988-08-03
"15","Stadler","Simon","Uri","Mitte",35,1988-05-02
"16","Meyer","Mattea","Zürich","SP",36,1987-11-09
"17","Blunschy","Dominik","Schwyz","Mitte",36,1987-10-27
"18","Gredig","Corina","Zürich","GLP",36,1987-09-08
"19","Heimgartner","Stefanie","Aargau","SVP",36,1987-04-25
"20","Kälin","Irène","Aargau","Grüne",37,1987-02-06
